Threshold,Precision,Recall,F1,Predicted_Churn_Rate
0.1,0.3557552209810588,0.979933110367893,0.52200249420987,0.7309194178203763
0.11,0.3606314750863345,0.9779264214046822,0.5269417913137502,0.7195598154064607
0.12,0.3651868572861801,0.9739130434782609,0.5311929952572054,0.707667731629393
0.13,0.371107708014293,0.9725752508361204,0.5372251985959726,0.6954206602768903
0.13999999999999999,0.3750323080899457,0.9705685618729097,0.5410141685309471,0.6867234646787362
0.14999999999999997,0.3785340314136126,0.9672240802675586,0.5441204139228598,0.6780262690805822
0.15999999999999998,0.38220451527224436,0.9625418060200669,0.5471482889733841,0.6682641107561236
0.16999999999999998,0.3875507442489851,0.9578595317725752,0.5518304431599229,0.6558395456159034
0.17999999999999997,0.39088663189678835,0.9525083612040134,0.5543012845465162,0.6466098686545971
0.18999999999999995,0.39493459504592265,0.9491638795986622,0.5577830188679245,0.6377351792687256
0.19999999999999996,0.3989256432004524,0.9438127090301003,0.5608108108108109,0.6277955271565495
0.20999999999999996,0.40258249641319943,0.9384615384615385,0.5634538152610442,0.6185658501952431
0.21999999999999995,0.4075262543757293,0.934448160535117,0.5675401178143409,0.6084487042953497
0.22999999999999995,0.41179958493922325,0.9290969899665552,0.5706655710764175,0.598686545970891
0.23999999999999994,0.4172966434835198,0.9230769230769231,0.5747605164514785,0.5869719559815406
0.24999999999999992,0.421310471524801,0.9204013377926421,0.5780298256668767,0.579694710685126
0.2599999999999999,0.4262193227710469,0.9177257525083612,0.5820958845990666,0.5713525026624068
0.2699999999999999,0.4315523237432817,0.9130434782608695,0.5860884499785316,0.5614128505502307
0.2799999999999999,0.4382855301321302,0.9096989966555183,0.5915615484993475,0.550763223287185
0.2899999999999999,0.4429552141222622,0.9063545150501672,0.5950812472551603,0.542953496627618
0.29999999999999993,0.44603121886416475,0.8983277591973244,0.5960940967598757,0.5344337948171815
0.30999999999999994,0.44935854152599597,0.8903010033444816,0.5972627327798968,0.5257365992190274
0.3199999999999999,0.45538778311599176,0.8876254180602007,0.6019505556815604,0.5172168974085907
0.32999999999999985,0.4600069856793573,0.8809364548494983,0.6044056906837999,0.5081647142350018
0.33999999999999986,0.4637424831977361,0.8769230769230769,0.6066635816751504,0.5017749378771743
0.34999999999999987,0.46733668341708545,0.8709030100334448,0.6082690960056062,0.49449769258075965
0.3599999999999999,0.4700948212983224,0.8622073578595317,0.60844937455747,0.48668796592119273
0.3699999999999999,0.47269372693726935,0.8568561872909699,0.6092746730083234,0.481008164714235
