Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
CatBoost,0.7643718949609652,0.5388888888888889,0.7780748663101604,0.6367614879649891,0.8453783357875431,0.6621219788228028
XGBoost,0.7579843860894251,0.5296229802513465,0.7887700534759359,0.6337271750805585,0.8424126172208013,0.655821227828299
Logistic Regression,0.7977288857345636,0.6539792387543253,0.5053475935828877,0.5701357466063348,0.8454106280193238,0.6519642401050431
Random Forest,0.7686302342086586,0.548,0.732620320855615,0.6270022883295194,0.8420083184789067,0.651626007608129
